titres,synopsis,resume
Methagu,"Srilankan Government made Sinhala as the only official language in Srilanka, discriminating Tamil minorities. Srilankan Government and Tamil politicians signed a pact to have Tamil as the official language in North and East provinces where Tamils are the majority. But, Sinhala Buddhists did not like the idea of Tamil getting the official status. A Buddhist monk kills Srilankan PM Bandaranaike. Sinhalese mobs attack minority Tamils. Pogrom unleashed. Prabhakaran as a child was affected by the racism and riots. Tamils continue Sathyagraha Non-violence protests under the leadership of Selvanayagam, a Gandhian leader. At the time, Tamils asked for permission to conduct a Tamil Seminar in Jaffna. Alfred Duraiappa refused permission under the pressure of then Srilanka PM Srimavo Bandaranaike and Buddhist fundamentalists. But, Tamil seminar was conducted by Tamils. Police force attacks Tamils. Nine Tamils were killed at the spot. Prabhakaran, now a teenager feels that Non-violence protests ...",The Movie shows the true events that happened in Tamileelam to suppress Tamil ethnicity and it is talking about how and why Tamil leader Prabhakaran emerged in the Tamil freedom struggle in the Indian Ocean Island nation Srilanka.
Hababam Sinifi,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
Les Évadés,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.Written byJ-S-Golden","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Aynabaji,"Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne out of a society that doesn't give him a chance to follow his passion of acting, but forces him to act in the real life. Falling in love with the girl next door changes his life equation and he decides to end this career with one last performance. But this one takes him too deep in the rabbit hole. The story unfolds on how an underdog survives in a society that is merciless and struggles his way out from the clutch of crime game in which he is a part too.Written byAmitabh reza",Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
Le Parrain,"The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.Written bysrijanarora-152-448595",An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
Soorarai Pottru,"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power.","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
Peranbu,"Peranbu is an upcoming Indian Tamil drama film written and directed by Ram and produced by P. L. Thenappan. The film features Mammootty and Anjali in the lead roles. Featuring music composed by Yuvan Shankar Raja, the film began production in early 2016.Written byakhiljithbs","A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
C/o Kancharapalem,Four unconventional love stories set in the town and including the people of Kancherapalem.,Four unconventional love stories set in the town and including the people of Kancherapalem.
Aloko Udapadi,"Aloko Udapadi (Light Arose) is an Epic Film of the unswerving human effort, to record for all time, a unique spiritual heritage. In 89 BC, King Walagamba of Sinhala kingdom (present day Sri lanka), was troubled by power-hungry forces from within and from outside, which compelled him to abandon throne and flee with a hope of returning back to power. A severe drought and a subsequent famine assailed the land for twelve unbroken years. Buddhist Monks who perpetuated Lord Buddha's word by oral tradition, could not survive the harsh conditions. The monks were troubled both by the enemy and the famine. In these dark days, the loyal subjects protected their King. Enemy leaders killed each other for power and wealth. Well armed, the King dealt a deadly blow and regained the rule and brought back the freedom the natives lost. In peace and prosperity, the monks facing the challenge wrote down the oral tradition. The Buddha's compassionate teaching became an irreducible component of the whole of...","Aloko Udapadi (Light Arose) is an Epic Film of the unswerving human effort, to record for all time, a unique spiritual heritage. In 89 BC, King Walagamba of Sinhala kingdom (present day Sri...                See full summary »"
Natsamrat,"The film is a tragedy about a veteran theatre actor named Ganpat ""Appa"" Belwalkar (Nana Patekar) who has been the best of his lot during his heyday, garnering fame and fortune acting in plays based on various works, especially William Shakespeare's. It is a tragedy of a veteran actor who enjoyed a very vital importance in his life but who becomes the victim of old age alienation and estrangement. The film reveals an intensely tragic fate of an actor who becomes victim of fate and fortune in old age, which is similar to the fate of Lear. Natsamrat suffers the pangs of old age and dishonor inflicted on him by his own children. It is a tragedy of great humanist and actor who succumbs to the ill fate and destiny. In fact, Natsamrat is a story of Ganpatrao Belvalkar, who withstands great suffering after his retirement from stage acting.","After he retires, an aging theatre actor and his wife begin to feel unwanted by their children."
